op_type,rw,lpa_start,lpa_len
Q,R,282624,8
G,R,282624,8
I,RS,282624,8
D,RS,282624,8
C,RS,282624,8
Q,R,286720,128
G,R,286720,128
I,RS,286720,128
D,RS,286720,128
C,RS,286720,128
Q,R,286848,256
G,R,286848,256
I,RS,286848,256
D,RS,286848,256
C,RS,286848,256
Q,R,287104,256
G,R,287104,256
I,RS,287104,256
D,RS,287104,256
C,RS,287104,256
Q,R,287360,256
G,R,287360,256
I,RS,287360,256
D,RS,287360,256
C,RS,287360,256
Q,R,287616,256
G,R,287616,256
I,RS,287616,256
D,RS,287616,256
C,RS,287616,256
Q,R,287872,256
G,R,287872,256
I,RS,287872,256
D,RS,287872,256
C,RS,287872,256
Q,R,288128,256
G,R,288128,256
I,RS,288128,256
D,RS,288128,256
C,RS,288128,256
Q,R,288384,256
G,R,288384,256
I,RS,288384,256
D,RS,288384,256
C,RS,288384,256
Q,R,288640,256
G,R,288640,256
I,RS,288640,256
D,RS,288640,256
C,RS,288640,256
Q,R,288896,256
G,R,288896,256
I,RS,288896,256
D,RS,288896,256
C,RS,288896,256
Q,R,289152,256
G,R,289152,256
I,RS,289152,256
D,RS,289152,256
C,RS,289152,256
Q,R,289408,256
G,R,289408,256
I,RS,289408,256
D,RS,289408,256
C,RS,289408,256
Q,R,289664,256
G,R,289664,256
I,RS,289664,256
D,RS,289664,256
C,RS,289664,256
Q,R,289920,256
G,R,289920,256
I,RS,289920,256
D,RS,289920,256
C,RS,289920,256
Q,R,290176,256
G,R,290176,256
I,RS,290176,256
D,RS,290176,256
C,RS,290176,256
Q,R,290432,256
G,R,290432,256
I,RS,290432,256
D,RS,290432,256
C,RS,290432,256
Q,R,290688,256
G,R,290688,256
I,RS,290688,256
D,RS,290688,256
C,RS,290688,256
Q,R,290944,256
G,R,290944,256
I,RS,290944,256
D,RS,290944,256
C,RS,290944,256
Q,R,291200,256
G,R,291200,256
I,RS,291200,256
D,RS,291200,256
C,RS,291200,256
Q,R,291456,256
G,R,291456,256
I,RS,291456,256
D,RS,291456,256
C,RS,291456,256
Q,R,291712,256
G,R,291712,256
I,RS,291712,256
D,RS,291712,256
C,RS,291712,256
Q,R,291968,256
G,R,291968,256
I,RS,291968,256
D,RS,291968,256
C,RS,291968,256
Q,R,292224,256
G,R,292224,256
I,RS,292224,256
D,RS,292224,256
C,RS,292224,256
Q,R,292480,256
G,R,292480,256
I,RS,292480,256
D,RS,292480,256
C,RS,292480,256
Q,R,292736,256
G,R,292736,256
I,RS,292736,256
D,RS,292736,256
C,RS,292736,256
Q,R,292992,208
G,R,292992,208
I,RS,292992,208
D,RS,292992,208
C,RS,292992,208
Q,R,293336,8
G,R,293336,8
I,RS,293336,8
D,RS,293336,8
C,RS,293336,8
Q,R,293632,8
G,R,293632,8
I,RS,293632,8
D,RS,293632,8
C,RS,293632,8
Q,R,1973688,256
G,R,1973688,256
I,RS,1973688,256
D,RS,1973688,256
C,RS,1973688,256
Q,R,318968,256
G,R,318968,256
I,RS,318968,256
D,RS,318968,256
C,RS,318968,256
Q,R,4062640,256
G,R,4062640,256
I,RS,4062640,256
D,RS,4062640,256
C,RS,4062640,256
Q,R,786272,160
G,R,786272,160
Q,R,926144,96
G,R,926144,96
I,RS,786272,160
I,RS,926144,96
D,RS,786272,160
D,RS,926144,96
C,RS,786272,160
C,RS,926144,96
Q,R,3832680,256
G,R,3832680,256
I,RS,3832680,256
D,RS,3832680,256
C,RS,3832680,256
Q,R,3538360,256
G,R,3538360,256
I,RS,3538360,256
D,RS,3538360,256
C,RS,3538360,256
Q,R,2227640,256
G,R,2227640,256
I,RS,2227640,256
D,RS,2227640,256
C,RS,2227640,256
Q,R,5217296,256
G,R,5217296,256
I,RS,5217296,256
D,RS,5217296,256
C,RS,5217296,256
Q,R,1703352,256
G,R,1703352,256
I,RS,1703352,256
D,RS,1703352,256
Q,R,1704376,8
G,R,1704376,8
I,RS,1704376,8
D,RS,1704376,8
C,RS,1704376,8
Q,R,1703944,8
G,R,1703944,8
I,RS,1703944,8
D,RS,1703944,8
C,RS,1703352,256
C,RS,1703944,8
Q,R,1703952,256
G,R,1703952,256
I,RS,1703952,256
D,RS,1703952,256
C,RS,1703952,256
Q,R,1704208,168
G,R,1704208,168
I,RS,1704208,168
D,RS,1704208,168
C,RS,1704208,168
Q,R,2751928,256
G,R,2751928,256
I,RS,2751928,256
D,RS,2751928,256
Q,R,2752952,8
G,R,2752952,8
I,RS,2752952,8
D,RS,2752952,8
C,RS,2751928,256
C,RS,2752952,8
Q,R,2752520,8
G,R,2752520,8
I,RS,2752520,8
D,RS,2752520,8
C,RS,2752520,8
Q,R,2752528,256
G,R,2752528,256
I,RS,2752528,256
D,RS,2752528,256
C,RS,2752528,256
Q,R,2752784,168
G,R,2752784,168
I,RS,2752784,168
D,RS,2752784,168
C,RS,2752784,168
Q,R,4390576,256
G,R,4390576,256
I,RS,4390576,256
D,RS,4390576,256
Q,R,4391600,8
G,R,4391600,8
I,RS,4391600,8
D,RS,4391600,8
C,RS,4391600,8
Q,R,4391168,8
G,R,4391168,8
I,RS,4391168,8
D,RS,4391168,8
C,RS,4390576,256
C,RS,4391168,8
Q,R,4391176,256
G,R,4391176,256
I,RS,4391176,256
D,RS,4391176,256
C,RS,4391176,256
Q,R,4391432,168
G,R,4391432,168
I,RS,4391432,168
D,RS,4391432,168
C,RS,4391432,168
Q,R,1178904,256
G,R,1178904,256
I,RS,1178904,256
D,RS,1178904,256
Q,R,1179928,8
G,R,1179928,8
I,RS,1179928,8
D,RS,1179928,8
C,RS,1178904,256
C,RS,1179928,8
Q,R,1179496,8
G,R,1179496,8
I,RS,1179496,8
D,RS,1179496,8
C,RS,1179496,8
Q,R,1179504,256
G,R,1179504,256
I,RS,1179504,256
D,RS,1179504,256
C,RS,1179504,256
Q,R,1179760,168
G,R,1179760,168
I,RS,1179760,168
D,RS,1179760,168
C,RS,1179760,168
Q,R,1449400,256
G,R,1449400,256
I,RS,1449400,256
D,RS,1449400,256
Q,R,1450424,8
G,R,1450424,8
I,RS,1450424,8
D,RS,1450424,8
C,RS,1449400,256
C,RS,1450424,8
Q,R,1449992,8
G,R,1449992,8
I,RS,1449992,8
D,RS,1449992,8
C,RS,1449992,8
Q,R,1450000,256
G,R,1450000,256
I,RS,1450000,256
D,RS,1450000,256
C,RS,1450000,256
Q,R,1450256,168
G,R,1450256,168
I,RS,1450256,168
D,RS,1450256,168
C,RS,1450256,168
Q,WS,278528,8
G,WS,278528,8
I,WS,278528,8
D,WS,278528,8
C,WS,278528,8
Q,WS,278536,16
G,WS,278536,16
I,WS,278536,16
D,WS,278536,16
C,WS,278536,16
Q,R,4858904,16
G,R,4858904,16
I,RS,4858904,16
D,RS,4858904,16
C,RS,4858904,16
Q,R,1344280,16
G,R,1344280,16
I,RS,1344280,16
D,RS,1344280,16
C,RS,1344280,16
Q,R,1967184,16
G,R,1967184,16
I,RS,1967184,16
D,RS,1967184,16
C,RS,1967184,16
Q,R,5097440,16
G,R,5097440,16
I,RS,5097440,16
D,RS,5097440,16
C,RS,5097440,16
Q,R,3516640,16
G,R,3516640,16
I,RS,3516640,16
D,RS,3516640,16
C,RS,3516640,16
Q,R,3480664,16
G,R,3480664,16
I,RS,3480664,16
D,RS,3480664,16
C,RS,3480664,16
Q,R,4373368,16
G,R,4373368,16
I,RS,4373368,16
D,RS,4373368,16
C,RS,4373368,16
Q,R,1680752,16
G,R,1680752,16
I,RS,1680752,16
D,RS,1680752,16
C,RS,1680752,16
Q,R,4012864,16
G,R,4012864,16
I,RS,4012864,16
D,RS,4012864,16
C,RS,4012864,16
Q,R,4388056,24
G,R,4388056,24
I,RS,4388056,24
D,RS,4388056,24
C,RS,4388056,24
Q,R,1069792,16
G,R,1069792,16
I,RS,1069792,16
D,RS,1069792,16
C,RS,1069792,16
Q,R,2136784,24
G,R,2136784,24
I,RS,2136784,24
D,RS,2136784,24
C,RS,2136784,24
Q,R,3717496,16
G,R,3717496,16
I,RS,3717496,16
D,RS,3717496,16
C,RS,3717496,16
Q,R,3532392,24
G,R,3532392,24
I,RS,3532392,24
D,RS,3532392,24
C,RS,3532392,24
Q,R,1866320,16
G,R,1866320,16
I,RS,1866320,16
